case_id,gps_nac_adopter,survey_source,home,state,age_binned,educ_binned,f1,f2,trig1,trig3,trig2,trig4,n1,n2,n3,f3,f4,cijm1,cijm2,cijm3,cns1,cns2,cns4,vb1,vb2,vb3,va1,va2,va3,vt1,vt2,vt3,ve1,ve2,ve4,vo1,vo2,vo3,pn1,pn2,pn3,e2,bte7,bb1,bb2,bb3,bte8,be13,be10,co3,be11,m3,bo15,bte9,pbc7,pbc9,m2,pbc3,m4,pbc5,m1,tru5,tr1,tr2,tr3,dep1,dep2,dep3,m6,suit1,suit2,o3,sn1,sn4,sn5,dv1,dv2,dv3,dv4,dv7,int_q1,int_q2,int_q3,int_q4,int_q5,int_q6,int_q7,tr_gov,tr_comp,tr_trade,tr_util,tr_online,tr_frfam,tr_neighb,tr_envorg,tr_univ,inv_neighfr,inv_party,inv_onlinecust,inv_onlinevideo,inv_reviews,inv_facebk,inv_govtweb,winter_nopv_binned,summer_nopv_binned,bills,power,stance,social,econ,cityyrs_binned,hmyrs_1_text,sqft_binned,gender,people_tot_3plus,have_kids,employ_1,employ_2,employ_5,retired,financial,income_binned
248,true,true,1,4,1,1,false,true,false,true,false,false,true,true,false,0,false,4,4,4,2,3,3,5,4,4,5,4,4,5,5,4,1,1,2,3,3,2,4,4,4,5,98,4,4,4,4,98,5,4,98,2,3,98,1,98,98,98,3,98,2,2,4,4,4,4,2,98,2,2,2,1,4,1,5,4,5,4,5,98,5,5,5,5,5,5,5,3,3,3,3,3,5,5,4,4,4,3,3,3,3,3,3,5,4,4,4,97,96,96,5,50,2,1,true,1,true,false,false,false,3,95
249,true,true,1,4,4,3,true,false,true,true,true,true,true,true,false,1,false,3,3,3,2,2,2,5,5,4,5,4,5,4,4,4,2,4,3,5,4,4,4,4,4,5,4,4,4,4,3,3,4,4,3,4,3,2,3,98,98,3,4,3,4,4,4,4,4,98,3,3,1,98,2,2,98,2,4,4,3,3,4,98,2,2,2,1,2,3,3,3,3,3,2,2,4,4,3,3,5,1,2,2,2,1,3,2,4,4,2,2,1,1,4,2,2,1,false,0,false,false,false,true,1,2
250,true,true,1,3,1,3,true,true,false,false,false,false,false,true,true,1,true,4,4,4,3,2,4,4,3,3,5,4,4,5,4,4,1,1,0,1,1,4,2,2,2,2,4,3,2,4,4,1,3,4,4,2,1,2,3,2,2,4,3,3,3,4,3,4,2,4,2,2,1,1,1,1,5,1,5,4,3,3,3,2,3,3,2,2,3,2,3,2,3,3,1,3,4,3,1,2,4,2,4,4,4,3,2,4,7,2,2,97,98,98,1,4,4,1,true,1,false,false,true,false,1,4
251,true,true,1,1,4,1,true,true,false,false,false,false,false,false,false,0,false,4,4,4,3,3,4,3,4,1,4,4,4,5,5,3,1,1,1,1,2,2,3,3,4,4,4,4,2,4,4,4,4,4,3,2,4,4,1,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,2,2,4,2,4,4,4,4,3,3,5,5,5,5,5,4,5,3,3,3,3,2,4,4,3,3,5,3,4,4,4,1,3,7,9,3,3,3,3,3,7,10,2,1,true,0,false,false,false,true,2,1
252,true,true,1,3,4,4,true,false,true,true,true,false,true,false,false,1,false,4,4,2,2,2,3,5,5,5,4,5,3,4,4,5,2,2,3,3,3,4,5,4,4,98,2,2,1,2,2,1,3,2,2,4,3,4,4,4,4,2,4,3,4,4,4,4,3,2,5,4,1,2,1,3,2,3,2,4,4,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,3,2,3,4,3,2,2,1,3,1,3,8,10,4,2,3,2,3,3,3,4,1,false,0,false,false,false,true,1,3
253,true,true,1,3,3,2,true,false,true,true,false,false,false,false,true,0,false,4,4,4,3,3,3,5,5,5,5,5,5,5,5,4,2,2,3,3,4,4,4,4,4,4,3,3,3,3,98,98,98,2,3,98,4,3,4,4,98,4,98,98,98,4,4,4,4,98,4,4,2,2,2,3,2,2,2,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,5,2,2,2,2,2,2,4,5,3,2,3,2,5,6,20,1,1,false,0,true,false,false,false,1,4
254,true,true,1,1,2,4,true,true,false,true,true,false,false,false,false,0,false,4,4,4,4,4,5,4,4,4,4,4,5,5,5,4,1,5,1,5,4,4,3,4,5,3,4,98,98,4,4,4,4,3,98,2,4,3,4,98,98,98,98,4,3,5,5,4,5,3,4,5,3,2,2,1,4,2,4,4,98,4,4,2,5,5,5,5,5,5,5,1,2,2,2,4,5,4,1,2,5,5,5,5,5,2,2,4,7,3,4,2,2,4,2,2,2,0,false,0,true,false,false,false,2,4
255,true,true,2,1,3,3,false,true,false,false,false,false,false,true,false,0,true,5,5,4,3,3,4,4,4,4,4,4,3,4,5,4,3,3,3,3,4,5,3,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,5,5,5,5,3,4,4,2,3,2,1,3,2,5,5,5,4,4,1,4,5,3,4,5,5,5,2,3,3,4,3,5,5,4,4,5,4,4,4,3,1,4,3,5,2,1,4,4,4,2,5,4,1,false,0,true,false,false,false,2,4
256,true,true,1,4,2,2,true,true,true,true,true,false,true,true,true,1,true,4,4,4,3,3,3,3,3,3,3,3,3,3,5,3,2,2,3,3,3,3,3,3,4,3,3,4,3,4,4,2,4,4,4,3,3,4,4,5,4,5,4,4,4,4,4,4,4,3,4,4,1,1,1,3,4,1,4,4,4,3,3,3,3,5,3,3,5,4,5,1,1,1,1,2,3,3,1,2,3,3,3,2,4,2,2,9,10,3,4,4,4,4,6,5,3,1,true,1,false,false,false,true,2,3
257,true,true,1,2,4,3,true,true,false,false,false,false,false,false,false,0,false,3,2,3,3,3,4,5,5,5,5,4,5,4,5,3,3,4,2,4,4,4,4,5,4,5,4,5,5,5,4,5,5,4,4,2,1,1,4,98,98,98,4,98,3,4,2,4,3,98,2,3,2,2,2,1,4,1,4,4,4,4,3,2,4,3,3,3,4,5,5,3,3,3,3,4,4,4,5,5,4,4,4,1,4,1,4,5,2,3,2,3,3,3,8,10,2,1,false,0,false,false,false,true,1,2
258,true,true,1,2,1,4,true,true,true,true,false,false,true,false,true,1,false,5,5,5,4,4,5,4,4,4,4,3,3,4,4,4,2,3,3,4,3,3,3,4,4,5,4,4,4,4,4,3,3,3,3,4,5,4,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,4,4,2,4,2,4,4,4,4,3,4,4,4,4,4,5,5,5,5,3,3,3,3,4,4,3,3,5,4,5,5,5,3,5,6,6,3,2,2,2,2,2,30,1,1,false,0,true,false,false,false,2,4
259,true,true,1,2,4,4,true,false,false,true,false,true,false,false,false,0,false,5,4,3,1,2,2,5,4,4,5,5,5,4,5,5,1,2,3,1,1,3,4,4,4,5,3,4,4,4,5,4,4,4,4,1,3,2,4,3,3,4,3,3,2,4,4,5,4,4,2,2,4,3,5,3,4,2,4,4,4,4,4,2,3,1,5,4,4,4,5,4,3,3,2,4,3,3,4,4,5,3,3,3,4,2,4,4,5,4,1,1,1,1,2,5,1,0,false,0,false,false,false,true,2,2
260,true,true,1,2,2,4,true,true,false,false,false,false,false,false,true,1,false,4,4,5,3,4,5,5,5,5,5,5,5,5,5,4,3,4,3,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,2,1,2,3,3,3,4,3,3,3,5,5,5,5,4,4,4,4,2,4,1,5,1,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,3,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,1,1,1,5,15,4,1,false,0,true,false,false,false,1,5
261,true,true,1,1,3,4,true,true,false,true,false,true,false,false,false,1,false,5,5,3,4,5,5,3,3,2,5,4,5,5,5,4,3,3,3,5,5,5,1,2,2,2,4,2,2,3,4,1,2,3,2,1,1,1,5,3,98,4,4,1,5,5,5,5,3,98,3,4,98,98,98,2,3,1,98,5,5,4,4,1,3,3,4,4,4,2,4,3,2,1,2,1,5,4,1,2,5,1,2,2,5,1,2,2,3,3,3,4,4,5,7,5,2,0,false,0,false,true,false,true,1,4
262,true,true,1,3,4,1,false,false,true,true,true,true,false,false,false,1,false,3,3,2,2,2,3,4,4,4,4,4,4,4,5,3,3,3,2,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,3,2,2,3,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,1,1,2,1,2,1,3,3,6,3,1,97,98,98,1,5,3,1,false,0,false,false,false,true,2,95
263,true,true,1,2,4,1,false,false,false,false,false,false,false,false,false,0,false,3,3,4,2,1,1,3,3,2,5,4,4,4,5,4,0,1,3,1,1,2,3,3,4,4,3,3,3,3,4,3,3,2,2,4,4,3,4,3,3,3,3,3,3,4,4,4,3,3,4,3,4,4,4,3,3,3,3,4,4,1,3,1,1,1,2,1,1,2,1,1,2,2,3,1,4,4,2,2,4,1,2,2,2,2,2,4,3,2,4,5,3,5,8,8,1,1,false,0,false,false,false,true,1,3
264,true,true,1,3,1,3,true,true,true,false,false,false,true,true,true,1,false,3,3,3,3,3,3,4,4,2,4,2,4,4,3,3,3,4,2,3,3,3,4,4,4,4,4,4,4,5,4,4,5,4,4,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,2,2,1,4,1,1,4,1,1,4,4,4,4,3,3,2,3,2,3,3,3,2,3,2,2,4,4,3,2,2,3,2,4,3,2,2,2,6,8,2,2,4,4,4,2,5,2,0,true,1,true,false,false,false,2,3
265,true,true,1,2,1,1,true,false,false,true,false,false,false,false,false,0,false,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,98,4,98,4,4,4,3,98,4,3,98,98,2,3,3,3,3,4,4,2,3,1,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,4,3,4,4,4,3,5,3,5,4,5,3,3,3,6,70,2,1,true,1,false,false,true,false,3,1
266,true,true,1,3,4,1,false,false,false,false,false,false,false,false,false,0,false,3,3,2,2,2,2,5,4,3,4,3,3,4,5,5,1,1,1,1,1,2,2,3,1,4,3,3,3,3,4,3,4,3,4,1,3,2,5,4,98,4,4,4,3,5,4,5,4,4,3,3,1,98,2,1,3,98,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,5,3,1,4,3,3,8,10,1,1,false,0,false,false,false,true,1,1
267,true,true,1,4,1,3,true,true,false,true,false,false,false,true,true,0,false,4,4,4,4,4,3,4,4,3,4,4,5,5,5,3,5,3,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,3,3,3,3,3,3,4,5,4,4,3,98,2,2,2,2,3,2,3,4,4,3,4,3,5,5,5,5,5,5,5,4,4,4,4,3,5,5,3,3,4,4,4,4,3,3,3,7,7,3,3,3,3,3,6,31,4,1,true,0,true,false,false,false,2,1
268,true,true,1,1,3,1,true,true,false,false,false,false,false,false,false,1,false,5,5,5,3,3,5,4,4,4,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,4,3,4,3,3,4,2,2,4,2,2,4,3,4,3,4,3,4,4,4,2,4,2,2,2,2,3,2,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,4,4,6,3,3,4,96,96,4,2,3,0,false,0,false,false,false,false,2,1
269,true,true,1,2,3,4,true,false,false,false,false,true,false,false,false,0,false,3,3,3,2,3,3,3,3,3,4,3,4,3,4,3,2,3,2,3,4,4,4,4,4,5,3,4,3,4,4,3,4,4,3,1,1,1,3,2,1,3,3,1,3,4,3,4,4,3,4,2,5,5,5,1,3,1,4,4,4,3,3,2,3,2,2,1,2,2,3,3,2,3,1,2,3,3,3,3,4,1,3,2,3,3,3,7,4,4,2,2,2,2,3,10,2,1,false,0,true,false,false,false,1,4
270,true,true,1,4,1,2,false,true,false,true,true,false,false,true,false,1,false,5,5,4,4,4,4,4,4,4,3,4,5,3,4,5,3,2,4,4,4,5,4,4,4,4,2,4,4,4,4,4,3,4,4,3,1,4,2,4,3,5,4,5,2,5,4,4,2,4,4,4,2,2,1,1,4,2,4,5,4,4,5,3,5,4,4,4,5,4,5,3,2,2,2,4,4,4,3,4,4,3,5,4,5,3,3,3,5,2,2,3,2,3,5,5,2,0,false,0,true,false,false,false,1,4
271,true,true,1,4,1,4,true,true,true,true,false,false,true,true,false,1,false,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,5,4,3,3,3,3,3,3,3,4,3,2,4,4,4,3,4,4,5,1,2,1,1,4,2,4,5,4,4,4,3,5,5,4,5,5,4,5,3,3,4,3,4,4,4,3,5,5,3,5,5,3,4,4,5,9,4,3,3,3,4,3,5,1,0,true,1,true,false,false,false,1,4
272,true,true,1,1,2,3,false,false,false,false,false,true,false,false,false,0,false,3,3,3,2,3,1,3,3,3,4,3,4,4,5,4,4,3,3,4,3,3,3,1,4,1,1,2,1,2,2,2,98,2,2,5,4,5,4,5,98,5,4,98,4,3,5,4,4,1,4,5,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,4,1,5,5,1,1,3,3,3,3,3,3,3,3,4,3,1,97,98,98,5,5,3,0,true,1,true,false,false,false,2,95
273,true,true,1,2,4,1,false,true,false,false,false,false,false,false,true,0,false,5,3,3,4,4,4,5,5,4,5,5,5,5,5,5,5,4,1,4,4,5,4,4,5,4,2,4,4,4,4,3,4,3,3,2,3,2,3,3,3,4,3,3,4,4,4,4,4,3,3,3,4,2,4,2,3,2,3,4,4,3,3,2,3,3,3,3,3,3,3,4,4,5,4,4,5,5,4,5,4,4,4,4,4,2,4,4,3,3,1,97,98,98,8,5,4,0,false,0,false,false,false,true,2,1
274,true,true,1,4,1,3,true,true,true,true,false,true,true,false,true,0,false,4,4,5,3,3,4,4,4,4,4,4,4,5,5,4,4,3,3,4,5,4,3,4,4,5,5,5,4,5,5,4,4,4,4,2,2,2,2,4,3,4,4,3,4,4,5,4,4,4,2,4,2,2,2,2,4,2,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,3,4,4,3,4,5,3,4,4,4,2,3,3,3,4,1,2,3,2,3,13,1,0,false,0,true,false,false,false,2,3
275,true,true,1,3,4,4,true,true,false,true,true,true,false,false,false,1,false,4,4,3,1,1,2,4,4,4,5,4,5,5,5,4,4,2,3,4,3,4,4,4,4,5,5,5,5,4,4,2,2,3,4,2,3,4,98,98,98,4,98,4,4,4,3,4,3,4,98,98,1,1,1,3,2,2,4,4,4,4,3,1,4,1,3,4,4,4,4,4,3,3,4,3,3,3,4,4,4,3,3,3,4,1,4,4,6,3,4,3,3,4,6,10,4,0,false,0,false,false,false,true,1,4
276,true,true,2,2,2,3,false,false,true,true,true,true,true,true,true,1,true,4,4,3,3,2,2,3,4,3,4,4,5,5,5,4,4,4,4,5,5,4,3,3,4,4,4,4,4,4,4,4,98,4,3,4,4,4,3,98,98,98,98,3,4,5,4,4,4,98,4,4,2,98,2,2,4,2,4,4,4,3,3,2,3,3,3,2,4,3,4,3,2,2,2,3,5,4,2,2,4,2,2,2,3,1,2,4,5,4,1,2,4,4,5,25,1,1,false,0,true,false,false,false,1,4
277,true,true,1,2,3,3,true,false,true,true,false,false,false,false,false,0,false,3,4,4,2,3,4,5,5,5,4,4,5,4,5,3,2,2,2,3,2,4,5,5,4,5,98,4,4,4,98,98,3,3,98,98,4,3,4,98,98,98,4,98,98,4,4,5,4,98,4,4,98,4,98,2,98,1,4,5,4,3,4,98,4,4,4,4,4,4,4,4,3,3,2,1,4,3,2,1,4,4,3,3,3,3,4,5,5,3,2,2,2,3,6,10,2,1,false,0,true,false,false,false,2,2
278,true,true,1,4,3,4,true,true,false,true,false,true,false,true,false,1,false,4,3,4,3,3,3,5,4,4,4,4,4,4,5,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,3,3,98,98,98,98,98,3,3,4,4,4,4,4,3,98,1,2,1,1,4,98,5,5,5,4,4,98,4,4,4,5,5,4,5,5,3,3,4,2,5,4,4,4,4,4,3,4,1,1,4,7,5,4,3,2,2,3,2,10,4,1,false,0,false,false,false,true,1,4
279,true,true,1,4,3,3,true,true,true,true,true,false,true,true,true,1,true,4,4,4,3,4,4,5,5,5,5,4,4,5,5,4,4,4,4,5,5,5,5,5,4,5,2,5,4,5,5,5,5,4,4,2,3,2,3,3,2,4,4,4,4,2,2,4,3,4,1,3,3,2,3,1,4,1,5,3,4,5,5,4,5,5,5,5,5,5,5,2,3,4,3,3,4,4,4,3,5,3,4,5,5,2,2,8,8,3,2,4,4,5,6,5,2,0,false,0,false,false,false,true,1,5
280,true,true,1,1,2,3,true,false,false,false,false,false,false,false,false,0,false,4,4,4,2,2,2,4,3,2,4,4,4,4,4,2,2,2,3,2,2,2,2,3,3,4,4,4,4,4,4,3,4,3,4,2,4,3,4,98,98,98,98,98,98,4,4,1,3,98,4,4,98,98,98,2,3,3,4,4,4,2,3,2,2,2,2,2,3,3,2,4,2,2,2,4,5,4,3,4,5,3,4,3,4,2,3,8,8,3,2,2,2,2,5,8,4,1,true,1,false,true,false,false,1,95
281,true,true,1,4,1,1,true,true,true,true,false,true,true,true,false,1,false,4,3,4,5,5,5,5,4,4,5,5,0,0,0,4,3,4,5,4,4,4,4,4,5,3,3,5,5,4,5,4,5,3,5,1,2,3,1,2,3,3,3,3,5,4,3,4,4,3,5,3,3,3,1,1,5,1,3,5,3,5,3,3,3,5,4,4,4,4,4,2,3,4,4,4,5,5,3,3,5,5,4,5,4,4,1,8,8,4,4,2,3,3,3,10,1,1,true,1,true,false,false,false,1,2
282,true,true,1,2,2,1,false,true,false,true,true,false,false,false,false,1,true,5,5,5,3,3,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,98,3,3,3,4,3,2,2,3,4,4,2,98,4,4,4,98,3,5,5,4,2,3,3,4,2,4,2,3,2,4,5,5,3,3,2,4,3,4,3,5,4,4,2,2,2,2,3,5,5,2,2,5,4,4,4,2,2,4,8,7,4,3,4,3,3,7,2,3,1,true,0,false,false,true,false,1,95
283,true,true,2,4,4,2,false,false,false,true,true,false,false,false,false,0,false,3,4,3,2,2,4,4,3,3,4,3,4,4,5,3,3,3,3,4,3,4,2,4,4,4,4,3,3,4,4,3,3,3,3,3,2,3,2,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,2,2,2,2,4,4,4,4,1,3,2,4,3,4,3,4,3,2,4,3,3,5,4,3,3,2,1,2,3,4,1,3,5,4,4,2,4,4,4,6,15,1,0,false,0,false,false,false,true,2,95
284,true,true,1,1,3,3,true,true,false,false,true,false,false,false,false,0,false,5,5,4,2,3,4,5,4,4,4,5,3,5,5,4,3,4,2,2,4,4,4,4,5,5,98,3,4,98,4,98,4,98,98,3,4,2,2,4,98,98,3,5,3,5,4,5,5,3,4,4,3,2,2,1,98,2,3,5,5,4,4,2,4,5,4,5,5,5,5,1,2,2,3,4,5,5,3,4,5,4,3,3,5,1,1,5,5,3,2,4,4,5,6,20,3,0,false,0,true,false,false,false,2,4
285,true,true,1,2,3,2,true,true,false,true,false,false,false,false,false,1,false,4,3,2,2,3,4,3,5,3,2,5,5,5,5,3,0,4,4,1,3,5,2,3,3,2,4,3,98,5,5,4,4,98,5,1,1,3,4,98,98,5,1,4,2,4,1,3,2,98,4,4,98,2,3,1,4,1,5,3,4,3,3,98,4,4,1,5,5,2,3,3,2,2,1,2,3,2,4,4,3,1,3,2,4,1,4,7,3,5,4,97,98,96,3,25,1,0,false,0,false,false,false,true,3,2
286,true,true,1,2,3,2,false,false,false,true,false,true,false,false,false,0,false,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,2,2,2,3,2,4,4,4,4,4,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,4,5,97,98,98,8,40,1,1,false,0,false,false,false,true,2,3
287,true,true,1,4,2,3,false,true,false,true,true,false,true,false,false,0,false,4,5,4,3,4,4,5,5,5,5,4,5,4,5,5,3,2,3,4,3,5,4,5,5,5,4,4,4,4,5,5,4,98,4,98,1,98,4,98,98,98,98,98,1,4,3,4,5,4,2,2,1,1,5,2,4,1,98,5,5,2,4,2,4,5,3,4,5,5,5,4,3,4,3,3,4,3,3,4,5,3,5,4,5,3,5,3,7,3,2,3,2,3,5,5,2,1,true,0,false,false,true,false,3,2
288,true,true,1,4,1,3,true,true,true,false,false,false,true,true,false,0,false,4,3,5,5,4,3,0,5,4,5,5,0,5,5,4,3,4,3,4,4,5,4,4,5,98,5,4,4,5,5,5,5,5,3,2,3,2,4,5,4,4,4,3,3,3,3,4,5,5,5,4,3,1,4,4,5,2,4,5,4,4,5,5,4,3,3,4,5,5,5,3,3,4,4,3,4,3,3,4,4,3,4,4,3,3,5,5,4,3,2,97,98,4,2,7,1,0,false,0,true,false,false,false,2,3
289,true,true,1,2,4,4,true,false,false,false,false,false,false,false,true,0,false,5,4,4,3,3,4,5,5,4,5,5,5,5,5,4,1,3,3,4,3,4,4,4,4,4,3,4,5,4,4,3,3,4,4,3,2,1,4,3,3,4,3,4,3,4,4,3,4,3,3,3,2,1,1,1,4,3,4,5,5,4,4,2,4,3,3,3,3,3,4,2,3,4,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,1,4,3,4,5,20,1,1,false,0,true,false,false,false,3,2
290,true,true,1,3,4,1,true,true,true,true,true,false,true,true,true,1,false,3,3,3,3,3,3,3,3,2,3,3,3,4,4,3,4,2,2,3,2,4,3,4,2,3,3,3,3,4,3,3,3,3,3,2,2,2,4,3,3,4,3,4,3,4,3,4,4,3,4,3,3,2,2,2,3,3,3,3,3,2,2,2,2,1,2,1,1,2,1,3,2,2,3,2,2,2,2,3,2,1,2,2,1,1,1,4,5,3,1,4,4,3,5,20,2,1,false,0,false,false,false,true,2,3
291,true,true,1,1,1,1,true,false,false,true,false,false,false,false,false,0,false,3,1,1,2,2,2,4,4,4,4,3,3,4,3,4,3,1,1,4,4,4,1,2,3,4,2,2,2,2,2,1,1,1,1,4,4,4,4,4,4,4,2,4,4,1,2,2,2,2,4,4,3,3,3,2,3,4,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,6,7,3,3,97,3,3,7,30,1,0,false,0,false,true,false,false,3,1
292,true,true,1,2,3,2,false,true,false,true,false,false,false,false,false,0,false,4,4,3,3,1,1,5,4,4,5,4,4,5,0,3,4,3,2,4,4,3,3,4,4,4,4,4,3,4,3,3,3,1,3,3,3,4,4,3,3,4,3,4,3,4,4,4,3,3,3,4,2,2,1,1,3,2,3,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,1,1,1,4,3,3,1,3,3,3,3,14,2,0,false,0,false,false,false,true,1,2
293,true,true,1,3,3,2,true,false,true,true,false,false,true,false,true,1,false,5,5,2,3,3,3,5,4,3,5,5,5,5,5,4,2,3,3,4,4,4,5,4,4,5,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,5,98,4,5,5,4,5,5,3,4,3,1,4,1,5,1,3,3,5,5,3,2,5,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,4,5,5,5,5,5,1,5,9,9,3,1,3,3,3,2,5,4,1,false,0,true,false,false,false,2,4
294,true,true,2,4,1,4,false,true,false,false,false,false,false,false,false,0,false,5,4,4,3,3,4,4,4,3,5,4,5,5,5,3,3,4,4,4,4,5,4,5,5,5,5,5,5,4,5,5,3,4,5,3,5,5,5,4,3,5,4,5,4,4,4,5,4,4,4,5,1,3,1,2,3,3,3,4,4,3,4,2,3,3,3,2,3,3,3,4,4,4,4,4,5,4,4,4,5,3,4,4,4,3,4,3,3,3,1,1,1,1,3,2,1,1,false,0,true,false,false,false,1,2
295,true,true,1,3,4,2,false,false,false,false,false,false,false,false,false,0,false,5,3,2,3,3,3,2,4,3,4,3,4,4,3,3,3,3,2,3,3,4,2,3,3,3,1,1,3,3,2,2,1,1,1,3,4,4,5,5,5,5,5,4,1,4,4,4,3,2,4,4,2,3,1,5,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,3,2,2,1,1,1,1,5,5,3,1,4,4,4,2,20,2,1,false,0,false,false,false,true,1,2
296,true,true,1,4,3,1,true,false,false,true,false,false,false,false,false,0,false,3,3,4,3,2,2,4,4,3,5,4,4,5,5,3,1,3,3,3,4,2,4,4,3,4,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,4,3,3,3,4,2,3,3,3,3,3,2,1,2,2,3,3,4,3,3,2,3,1,1,1,1,1,1,1,1,3,2,2,2,2,3,3,2,2,4,3,4,3,3,1,4,3,5,3,1,3,3,3,1,15,2,0,false,0,false,false,false,true,1,3
297,true,true,1,4,3,3,true,true,true,true,false,false,true,false,false,1,false,4,4,4,3,2,4,3,3,3,3,3,2,4,5,5,4,3,3,4,3,3,3,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,4,1,2,4,4,5,3,5,5,5,4,4,3,5,2,1,1,2,3,1,2,4,4,3,4,2,3,2,2,2,3,2,3,3,2,3,2,3,3,3,2,3,3,1,1,1,1,1,2,3,3,3,2,4,5,5,4,7,4,0,false,0,true,false,false,false,2,3
298,true,true,1,4,2,1,false,false,false,false,false,false,false,false,false,0,false,3,3,2,2,2,3,4,4,4,5,2,2,5,4,2,2,2,4,4,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,2,3,2,2,3,4,2,2,3,2,1,2,1,2,2,2,1,2,2,2,2,3,2,2,2,4,3,3,2,3,3,3,1,3,3,1,1,2,1,1,1,1,1,1,9,9,3,1,97,98,98,7,50,4,1,true,1,false,false,true,false,4,1
299,true,true,2,3,4,2,true,true,false,true,false,true,false,false,false,1,false,3,3,2,3,3,3,4,5,5,5,5,5,5,4,5,5,5,5,4,5,3,3,3,5,1,3,2,98,3,3,2,2,2,3,4,3,3,4,3,4,5,3,3,3,5,4,4,4,3,5,5,1,3,1,2,3,2,3,4,4,3,3,2,3,3,3,3,3,3,3,1,1,1,3,2,4,3,1,1,4,4,4,3,2,1,1,3,6,3,1,5,5,5,3,5,2,0,false,0,false,false,false,true,1,4
300,true,true,1,1,4,1,true,true,true,true,false,false,false,false,false,0,false,4,4,4,3,4,3,4,3,3,5,5,5,5,5,5,1,4,2,3,4,5,3,2,3,3,4,2,2,3,4,3,3,2,4,3,2,2,2,2,3,4,2,2,3,4,2,2,3,4,4,4,2,4,4,2,4,2,4,3,4,2,2,1,3,1,1,2,1,1,2,2,3,3,3,4,4,4,3,3,3,3,4,4,4,4,2,6,8,3,3,4,4,4,3,10,4,1,false,0,false,false,false,true,1,3
301,true,true,1,1,4,2,true,false,true,true,false,false,false,true,false,0,false,3,3,3,1,1,2,4,3,1,4,2,1,5,5,3,1,1,3,2,2,3,2,2,4,2,3,3,1,2,2,2,3,3,3,4,4,4,4,98,98,98,3,4,3,4,3,5,1,98,4,4,1,1,1,1,3,1,4,1,3,1,1,1,3,1,1,1,1,1,1,3,3,3,3,4,4,4,3,3,1,1,1,1,1,1,1,,,3,1,4,3,4,1,2,4,0,false,0,false,false,false,true,2,95
